rapportd   696 rahatislam   18u  IPv6 0x505b0437b37c25e2      0t0  TCP [fe80:b::1c57:884f:d898:d0a6]:51571->[fe80:b::1c21:2cf:ca5e:7e7f]:50352 (ESTABLISHED)
Dropbox    719 rahatislam   65u  IPv4 0x46798a08268f39d5      0t0  TCP 10.88.111.3:51660->162.125.21.3:443 (ESTABLISHED)
Dropbox    719 rahatislam  159u  IPv4 0x31b73c212dcd952f      0t0  TCP 10.88.111.3:51595->162.125.21.2:443 (ESTABLISHED)
Dropbox    719 rahatislam  223u  IPv4 0xfa4d000fbb0e3db1      0t0  TCP 10.88.111.3:51599->162.125.11.17:443 (ESTABLISHED)
Google     846 rahatislam   53u  IPv4 0xd7d19942c55f5a84      0t0  TCP 10.88.111.3:51579->192.178.192.95:443 (ESTABLISHED)
Google     846 rahatislam   85u  IPv4 0x2941ccec009844ff      0t0  TCP 10.88.111.3:51655->216.239.38.223:443 (ESTABLISHED)
Google     846 rahatislam   90u  IPv4 0x2b5159ec8f3128b7      0t0  TCP 10.88.111.3:51658->216.239.38.223:443 (ESTABLISHED)
Google     846 rahatislam  110u  IPv4  0xf69c401bc55978b      0t0  TCP 10.88.111.3:51657->216.239.38.223:443 (ESTABLISHED)
DropboxFi 1002 rahatislam   25u  IPv4 0x68ada894692dab28      0t0  TCP 10.88.111.3:51672->162.125.21.3:443 (ESTABLISHED)
DropboxFi 1002 rahatislam   27u  IPv4 0xbd48ee1f9f34df25      0t0  TCP 10.88.111.3:51588->162.125.21.2:443 (ESTABLISHED)
Brave\x20 6044 rahatislam   23u  IPv4 0xd402f7b972dc91ad      0t0  TCP 10.88.111.3:51597->3.173.21.63:443 (ESTABLISHED)
Brave\x20 6044 rahatislam   28u  IPv4 0xb5f9a7bbd0d07c12      0t0  TCP 10.88.111.3:51578->140.82.112.26:443 (ESTABLISHED)
Brave\x20 6044 rahatislam   31u  IPv4 0x743f799c176478fa      0t0  TCP 10.88.111.3:51663->54.69.146.176:443 (ESTABLISHED)
Brave\x20 6044 rahatislam   39u  IPv4 0x9f8ba2ce06229788      0t0  TCP 10.88.111.3:51598->3.173.21.63:443 (ESTABLISHED)
Brave\x20 6044 rahatislam   44u  IPv4 0x50a9a80f9346ffea      0t0  TCP 10.88.111.3:51667->18.214.174.26:443 (ESTABLISHED)
Brave\x20 6044 rahatislam   54u  IPv4 0xe197c88a7b70a9bc      0t0  TCP 10.88.111.3:51589->160.79.104.10:443 (ESTABLISHED)
Claude    7577 rahatislam   72u  IPv4 0x2ed9518978998869      0t0  TCP 10.88.111.3:51580->160.79.104.10:443 (ESTABLISHED)
Claude    7590 rahatislam   24u  IPv4 0x14bfe3be9c2a2834      0t0  TCP 10.88.111.3:51570->160.79.104.10:443 (ESTABLISHED)
